nombre,edad,lugar_registro,marca_auto,modelo_auto,año_modelo,autonomia_km,tipo_carga,fecha_registro,version_software,baterias_recicladas
Amada Azorin Mendoza,72,Teruel,Nissan,Ariya,2021,450,Rápida,2024-09-13,2.1.2,Sí
Pepe Carbonell Ramirez,62,Girona,Chevrolet,Bolt EUV,2024,369,Ultra Rápida,2024-03-11,4.2.3,No
Atilio Estrada Montesinos,64,Segovia,Audi,Q4 e-tron,2021,328,Rápida,2024-04-25,8.8.5,Sí
Casemiro de Reig,45,Huesca,Chevrolet,Bolt EUV,2019,313,Ultra Rápida,2022-08-05,2.0.5,No
Priscila de Villa,21,Palencia,Nissan,Ariya,2019,466,Lenta,2022-06-28,9.3.3,No
Guadalupe Buendía Prat,24,Tarragona,Ford,Mustang Mach-E,2021,366,Lenta,2023-05-18,3.5.2,Sí
Chus Carvajal Muñoz,25,Córdoba,Volkswagen,ID.4,2024,545,Rápida,2023-06-14,5.3.3,Sí
Adrián Campoy,50,Sevilla,Ford,Mustang Mach-E,2019,293,Rápida,2023-11-28,8.9.1,No
Maura Amador Rubio,48,Vizcaya,Volkswagen,ID.3,2019,395,Rápida,2022-08-29,6.7.3,Sí
Selena Carvajal Rodrigo,50,Cáceres,Chevrolet,Bolt EV,2024,367,Rápida,2023-01-26,1.0.3,No
Gonzalo Iglesias Samper,56,Valencia,Audi,Q4 e-tron,2019,373,Ultra Rápida,2025-01-20,10.8.4,Sí
Lalo Pol,51,León,Tesla,Model X,2024,385,Ultra Rápida,2023-01-26,7.4.4,Sí
Guiomar Tormo Niño,42,Vizcaya,Kia,Niro EV,2020,291,Rápida,2023-07-13,5.9.7,Sí
Jose Ignacio de Pino,28,Jaén,Tesla,Model S,2022,445,Rápida,2024-06-08,1.3.0,No
Ani Sastre,31,Girona,Chevrolet,Bolt EUV,2025,327,Lenta,2024-10-12,7.6.2,No
Florencio del Gelabert,39,Cuenca,Audi,e-tron,2025,519,Rápida,2022-08-23,5.3.8,Sí
Jose Miguel Cabanillas-Segovia,32,Lleida,BMW,i3,2024,243,Ultra Rápida,2025-01-27,8.0.7,No
Gregorio Valcárcel Reyes,65,Santa Cruz de Tenerife,Volkswagen,ID.3,2021,438,Rápida,2024-03-19,10.5.0,No
Josefa Alemán Seco,51,Zaragoza,Volkswagen,ID.4,2018,449,Ultra Rápida,2022-09-27,9.2.6,Sí
Violeta del Barros,42,Badajoz,Nissan,Leaf,2018,546,Rápida,2024-04-02,10.2.2,No
Geraldo Benigno Gordillo Trujillo,42,Cáceres,Ford,Mustang Mach-E,2019,472,Rápida,2025-04-12,7.9.1,No
Santiago Téllez Bas,51,Teruel,Chevrolet,Bolt EUV,2025,302,Rápida,2024-10-23,5.9.3,No
Evangelina Grande Vara,55,Castellón,BMW,i3,2018,346,Ultra Rápida,2023-07-11,2.2.5,No
Bibiana Peñas Bernad,30,Burgos,Tesla,Model Y,2021,483,Ultra Rápida,2024-01-10,9.8.8,Sí
Ani de Teruel,62,Granada,Volkswagen,ID.3,2020,425,Ultra Rápida,2023-01-12,8.2.1,No
Manuela Pareja-Almazán,32,Zaragoza,Kia,Niro EV,2023,372,Ultra Rápida,2022-06-24,4.9.4,No
Mercedes Leiva Rovira,30,Tarragona,Hyundai,Ioniq 5,2019,511,Rápida,2024-10-14,7.3.2,Sí
Javier Dalmau Cortina,63,Lugo,Volkswagen,ID.4,2023,199,Lenta,2023-04-10,3.1.7,Sí
Flavia Cecilia Pujol Adadia,55,Santa Cruz de Tenerife,Kia,EV6,2023,416,Ultra Rápida,2023-05-20,4.4.7,Sí
Américo Pazos,21,Granada,Volkswagen,ID.4,2020,553,Rápida,2025-01-10,7.1.0,No
Apolonia Aguirre Fabra,78,Tarragona,Kia,EV6,2025,497,Ultra Rápida,2023-01-10,9.1.0,No
Marcial Tur Torrecilla,59,Teruel,Hyundai,Ioniq 5,2024,484,Lenta,2025-02-18,3.5.5,Sí
Susana Florentina Luján Madrigal,33,Córdoba,Chevrolet,Bolt EV,2021,386,Lenta,2024-11-12,9.7.8,No
Galo Peinado Solano,61,Pontevedra,Volkswagen,ID.3,2025,352,Lenta,2024-04-20,3.6.6,No
Sigfrido Castell Fuertes,66,Cáceres,Kia,Niro EV,2018,153,Lenta,2025-01-28,5.4.5,No
Sarita Chaves Pellicer,38,Pontevedra,Nissan,Leaf,2021,535,Rápida,2025-02-12,2.7.2,No
Agustín Cabrera Marco,26,Cantabria,Kia,EV6,2020,290,Ultra Rápida,2023-01-16,3.7.8,No
Leonardo Olivé Tomé,32,Toledo,Kia,Niro EV,2025,231,Lenta,2024-09-09,1.2.0,Sí
Rosalva Carlos Parejo,73,La Rioja,Chevrolet,Bolt EV,2020,574,Ultra Rápida,2025-04-24,3.9.1,Sí
Chuy Buenaventura Arranz Padilla,58,Las Palmas,BMW,i3,2023,464,Rápida,2023-04-30,2.9.6,Sí
María Dolores Aramburu,77,Pontevedra,Audi,e-tron,2022,520,Rápida,2024-04-25,7.8.0,No
Godofredo Celso Viñas Torres,77,León,Hyundai,Ioniq 5,2021,408,Ultra Rápida,2022-05-05,7.7.0,No
Ángeles Alcolea Hierro,20,Sevilla,Hyundai,Ioniq 5,2025,545,Lenta,2024-04-13,1.0.4,No
Caridad Berrocal,39,Málaga,Ford,F-150 Lightning,2019,499,Ultra Rápida,2025-01-01,2.4.6,No
Vinicio Oliva Iborra,44,Guipúzcoa,Chevrolet,Bolt EUV,2019,489,Lenta,2022-05-02,2.6.4,Sí
Isidoro Zapata Noriega,74,Zaragoza,BMW,i4,2020,446,Lenta,2024-05-14,6.4.8,No
Maura Lasa,38,Madrid,Nissan,Leaf,2025,511,Rápida,2024-01-20,5.1.0,Sí
Lourdes Blanca Castells,74,Girona,Tesla,Model X,2022,328,Rápida,2024-09-12,1.5.3,No
Eva María Elías-Arteaga,59,La Rioja,Nissan,Leaf,2019,244,Ultra Rápida,2025-04-11,1.5.1,Sí
Evita Sanz-Sierra,67,Cáceres,Hyundai,Ioniq 5,2018,433,Lenta,2022-11-01,5.6.5,Sí
Flavia Ibañez Mur,42,Huelva,BMW,iX,2022,469,Lenta,2023-07-13,3.4.8,No
Fabiola Salvà Blanca,71,Cádiz,Chevrolet,Bolt EV,2018,530,Ultra Rápida,2022-12-14,5.2.9,Sí
Jose Ignacio Madrigal Figueras,69,Alicante,Audi,Q4 e-tron,2018,587,Lenta,2022-06-15,8.9.9,No
Erasmo de Arregui,33,Madrid,Chevrolet,Bolt EV,2018,302,Rápida,2023-05-22,7.2.3,Sí
Pascuala Gallego,28,Alicante,Volkswagen,ID.4,2025,551,Ultra Rápida,2022-06-17,1.1.2,Sí
Eli Sosa-Andres,22,Ourense,Chevrolet,Bolt EV,2021,318,Ultra Rápida,2024-11-28,2.0.8,Sí
Marco Garcés Tolosa,34,Segovia,Audi,Q4 e-tron,2022,368,Ultra Rápida,2025-01-24,9.7.4,No
Alondra de Verdugo,38,Albacete,Ford,F-150 Lightning,2025,163,Lenta,2023-11-13,8.4.3,No
Itziar Alba Amat,58,Lleida,Tesla,Model S,2018,494,Ultra Rápida,2023-05-14,10.8.7,Sí
Daniel Piñeiro Colom,51,Palencia,Volkswagen,ID.3,2019,325,Lenta,2023-12-26,8.5.3,No
Guillermo Ramos Lobo,26,Burgos,Tesla,Model X,2021,457,Lenta,2022-10-14,2.6.5,Sí
Herminio Figueras Rios,21,Sevilla,Hyundai,Kona Electric,2020,351,Ultra Rápida,2023-01-28,6.8.8,Sí
Manu Pallarès,57,Navarra,Ford,F-150 Lightning,2019,386,Rápida,2024-12-24,3.1.0,No
Bartolomé del Antón,23,Castellón,Chevrolet,Bolt EV,2020,401,Ultra Rápida,2024-07-23,8.0.8,No
Selena Ángel Cerdá,52,Asturias,Tesla,Model Y,2025,508,Lenta,2024-05-10,3.4.9,Sí
Vito de Salazar,52,Cantabria,Hyundai,Kona Electric,2023,302,Rápida,2022-11-22,4.3.3,Sí
Joaquina Suarez Miranda,33,Soria,BMW,iX,2018,424,Ultra Rápida,2022-06-05,6.3.1,No
Mar Zorrilla Lobato,59,Huesca,Tesla,Model X,2021,568,Ultra Rápida,2022-10-09,7.7.8,No
Ramón Baquero Sierra,30,Burgos,BMW,iX,2018,541,Rápida,2022-11-14,1.3.8,Sí
Amando Díaz Hernando,31,Girona,Nissan,Ariya,2021,358,Rápida,2024-03-22,6.7.7,Sí
Damián Blanch Duran,77,Pontevedra,Tesla,Model X,2018,536,Lenta,2023-05-08,10.0.2,No
Caridad Chamorro Ariza,70,Jaén,Tesla,Model S,2018,296,Lenta,2024-12-13,5.9.5,Sí
Perla Navarro-Recio,37,Teruel,BMW,i3,2020,198,Rápida,2023-01-02,8.4.4,Sí
Francisco Javier Ortega Córdoba,75,Huelva,Hyundai,Kona Electric,2018,394,Rápida,2024-10-24,2.9.8,No
Sigfrido Pagès Aguilera,66,Cádiz,Ford,Mustang Mach-E,2020,578,Rápida,2023-11-04,2.5.3,Sí
Jose Luis Adelardo Chaparro Tomás,51,Valladolid,Nissan,Leaf,2021,275,Lenta,2022-10-01,7.5.0,Sí
Chus Seguí Rosado,53,Albacete,BMW,i3,2020,474,Rápida,2023-07-04,4.9.0,Sí
Reyes Sierra Cobos,44,Navarra,Chevrolet,Bolt EV,2021,264,Lenta,2023-10-30,10.7.1,Sí
Silvio Fuertes-España,64,Las Palmas,BMW,i4,2020,566,Ultra Rápida,2024-08-16,9.8.8,Sí
Filomena Gonzalo Criado,18,Segovia,Nissan,Ariya,2020,438,Rápida,2023-12-03,9.0.4,Sí
Gervasio Jove,56,Guipúzcoa,Hyundai,Kona Electric,2018,381,Rápida,2022-11-12,4.9.2,No
Andrés Palomo Pallarès,19,Melilla,Chevrolet,Bolt EV,2025,505,Ultra Rápida,2024-09-08,6.4.2,Sí
Eleuterio del Carbonell,24,Segovia,Audi,e-tron,2024,286,Rápida,2022-11-03,5.5.8,Sí
Teresa Ros Vicente,69,Alicante,Hyundai,Kona Electric,2024,286,Rápida,2023-05-13,10.8.9,Sí
Amílcar Piñol-Dominguez,75,Palencia,Volkswagen,ID.4,2021,186,Rápida,2022-10-20,1.4.3,Sí
Ángel Posada Juárez,26,Melilla,Nissan,Ariya,2018,447,Ultra Rápida,2025-03-10,10.9.9,No
Onofre Vicente Angulo,45,Guadalajara,Volkswagen,ID.3,2019,231,Rápida,2023-09-11,1.3.2,No
Herminia Guillén,26,Navarra,Ford,F-150 Lightning,2018,364,Rápida,2024-04-05,9.1.0,Sí
Carolina Boix,25,Valladolid,Nissan,Ariya,2022,501,Lenta,2023-10-30,10.5.1,Sí
Sarita del Hoz,19,Girona,Hyundai,Ioniq 5,2020,373,Rápida,2024-03-24,3.9.6,No
Natanael Clímaco Gibert Ródenas,61,La Rioja,BMW,i4,2021,325,Ultra Rápida,2022-05-07,4.4.0,No
Galo Bas,27,Murcia,Chevrolet,Bolt EUV,2023,448,Rápida,2023-01-30,2.7.7,Sí
Noé Vallés Castro,50,Palencia,Hyundai,Kona Electric,2018,539,Rápida,2023-03-17,6.8.6,Sí
Sancho Miguel Valera Roura,26,Palencia,Kia,EV6,2025,374,Rápida,2023-07-28,9.7.6,No
Ariel Aroca-Godoy,47,Alicante,Audi,e-tron,2018,179,Ultra Rápida,2024-07-15,5.4.4,Sí
Teresita Pellicer Tejedor,23,Guadalajara,Kia,EV6,2024,228,Ultra Rápida,2023-01-03,7.2.3,Sí
Ani Portero Garay,49,Girona,Audi,Q4 e-tron,2022,231,Ultra Rápida,2025-02-01,6.2.2,No
Custodio Fiol Zurita,74,Segovia,Hyundai,Ioniq 5,2023,491,Lenta,2023-10-05,8.7.7,Sí
Rosario Martín Borrás,71,Alicante,Tesla,Model X,2025,431,Rápida,2024-07-27,3.3.0,Sí
Flora Morcillo-Marqués,66,Jaén,Tesla,Model 3,2021,552,Ultra Rápida,2024-03-17,6.2.7,Sí
Esteban Valverde Cordero,24,Pontevedra,Chevrolet,Bolt EV,2020,165,Lenta,2023-10-13,2.9.1,No
Emperatriz de Páez,63,Guipúzcoa,Chevrolet,Bolt EV,2025,202,Lenta,2024-03-17,5.3.3,Sí
Jennifer Arnau,70,Zamora,BMW,i3,2019,196,Lenta,2023-03-01,6.4.7,No
Samuel Escribano Bayón,55,Soria,Chevrolet,Bolt EUV,2018,318,Ultra Rápida,2024-05-01,10.2.5,Sí
Carina Pagès Coello,72,Cáceres,Hyundai,Ioniq 5,2020,394,Ultra Rápida,2024-12-17,10.8.2,Sí
Adelardo Pacheco-Ureña,51,Cuenca,Ford,Mustang Mach-E,2025,169,Rápida,2022-08-24,2.4.9,Sí
Fito Estrada Lucas,22,Las Palmas,BMW,iX,2024,512,Lenta,2024-08-14,3.6.1,Sí
Nélida Pomares-Grande,37,Melilla,Chevrolet,Bolt EUV,2025,215,Lenta,2024-02-04,10.3.5,Sí
Glauco Alarcón Garzón,80,Navarra,Nissan,Leaf,2019,320,Lenta,2024-01-05,7.5.1,No
Elba Peralta-Segura,22,Alicante,Tesla,Model 3,2025,584,Rápida,2025-04-07,4.1.9,No
Mohamed Pelayo Gilabert Lasa,57,Álava,Chevrolet,Bolt EUV,2021,447,Ultra Rápida,2024-08-03,10.7.3,Sí
Luisina Becerra Font,60,Zaragoza,Hyundai,Ioniq 5,2018,392,Rápida,2025-03-07,2.0.7,No
Valero Arévalo Campo,23,Tarragona,Ford,F-150 Lightning,2021,197,Rápida,2022-07-19,9.4.4,Sí
Manu de Moliner,46,Lugo,Hyundai,Ioniq 5,2018,214,Ultra Rápida,2022-04-29,2.0.9,Sí
Bárbara Serrano Guillen,46,Badajoz,Nissan,Ariya,2019,568,Lenta,2023-07-13,10.1.3,No
Bernardita Jesusa Bárcena Capdevila,23,Zamora,Ford,F-150 Lightning,2020,373,Ultra Rápida,2024-11-25,6.8.8,No
Rufino Tomas Mínguez,51,Santa Cruz de Tenerife,BMW,iX,2024,245,Lenta,2024-10-09,10.9.7,Sí
Ramiro Rico Sotelo,42,Cantabria,BMW,i3,2018,431,Rápida,2025-02-18,8.5.7,No
Vilma Muñoz-Carvajal,27,Almería,Audi,e-tron,2021,471,Rápida,2022-10-05,4.8.8,No
Caridad Aroca Arellano,63,Baleares,Kia,EV6,2020,572,Lenta,2024-05-27,10.2.0,No
Tristán Noguera Mayoral,66,Madrid,Volkswagen,ID.4,2020,465,Ultra Rápida,2023-09-01,8.9.6,No
Nazario Cortina Infante,70,Castellón,Tesla,Model S,2023,156,Rápida,2024-04-06,1.4.3,No
Rosalina Puga-Patiño,20,Salamanca,Chevrolet,Bolt EUV,2025,437,Rápida,2024-01-03,9.4.0,Sí
Dorita Mas Lamas,28,Valencia,Ford,Mustang Mach-E,2018,266,Rápida,2023-01-26,6.3.3,No
José Luis Nogués Ojeda,38,Jaén,Tesla,Model S,2020,393,Ultra Rápida,2023-03-26,1.2.1,Sí
Darío Araujo Cantón,74,Jaén,Hyundai,Ioniq 5,2020,285,Lenta,2025-03-14,1.6.6,No
Hernando Norberto Narváez Vélez,18,Salamanca,Chevrolet,Bolt EV,2020,489,Rápida,2022-06-05,10.9.4,No
Marcia Jiménez Alba,61,Badajoz,Kia,Niro EV,2024,234,Ultra Rápida,2023-02-04,5.3.1,Sí
Jafet Zapata Tejera,55,Zaragoza,BMW,i3,2021,562,Rápida,2024-12-10,6.0.7,No
Estela Plana Ochoa,68,Alicante,Hyundai,Ioniq 5,2023,326,Ultra Rápida,2023-06-08,5.6.5,Sí
Atilio Sevillano Porta,40,Pontevedra,BMW,iX,2021,206,Rápida,2023-07-19,3.2.4,Sí
Sarita Maldonado Badía,37,Málaga,Kia,Niro EV,2021,190,Lenta,2024-04-29,10.0.4,No
Ariel Crescencia Grau Solera,23,Palencia,Audi,e-tron,2020,516,Ultra Rápida,2023-10-23,5.9.8,Sí
Ulises Tejera Prats,24,Las Palmas,Ford,F-150 Lightning,2020,285,Lenta,2023-08-22,6.8.1,Sí
Cándido Teodoro Sevillano Molins,26,Asturias,Hyundai,Kona Electric,2018,510,Lenta,2022-06-22,6.9.6,Sí
Eligio Gil Soler Alberdi,32,Toledo,Volkswagen,ID.3,2024,161,Lenta,2024-08-09,6.7.4,Sí
Federico Rubén Arjona Arias,37,Barcelona,Audi,Q4 e-tron,2020,342,Ultra Rápida,2022-05-01,5.5.9,Sí
Merche Mena Monreal,63,Burgos,Chevrolet,Bolt EUV,2019,348,Ultra Rápida,2022-09-07,6.8.1,No
Encarnación Patiño Pedrero,30,Cuenca,Volkswagen,ID.3,2020,539,Ultra Rápida,2022-07-16,6.5.1,No
Sebastian Ferrero Cortes,58,Segovia,Volkswagen,ID.3,2023,582,Ultra Rápida,2022-10-13,1.9.0,Sí
Edelmira del Mendizábal,70,Ceuta,Ford,F-150 Lightning,2021,318,Ultra Rápida,2024-05-15,5.6.7,No
Odalis Cándida Ugarte Rosales,31,Pontevedra,Tesla,Model Y,2023,565,Ultra Rápida,2024-12-22,7.3.5,Sí
Casandra de Leiva,61,Salamanca,Audi,Q4 e-tron,2019,295,Rápida,2023-11-10,6.7.7,Sí
Ale Palacio Martorell,51,Almería,Chevrolet,Bolt EUV,2025,489,Rápida,2023-11-13,10.6.0,No
Lisandro Carvajal Villegas,40,Barcelona,Volkswagen,ID.3,2021,193,Ultra Rápida,2023-03-11,3.1.0,Sí
Jesús Quevedo Moliner,55,Zaragoza,Hyundai,Kona Electric,2020,300,Ultra Rápida,2022-05-03,5.4.2,Sí
Anna Borrego Moya,72,Vizcaya,Tesla,Model Y,2020,353,Lenta,2023-03-19,10.7.5,No
Fortunata Fernandez Rey,41,Lleida,BMW,i4,2018,498,Rápida,2022-07-01,7.4.1,Sí
Nadia Collado Juan,29,Lleida,Ford,Mustang Mach-E,2025,158,Lenta,2025-04-16,5.2.7,No
Estrella Vallejo-Escalona,46,Alicante,Volkswagen,ID.4,2018,451,Ultra Rápida,2024-06-05,8.1.9,No
Gema de Sanchez,58,Ceuta,Nissan,Ariya,2018,352,Ultra Rápida,2023-03-07,1.2.6,Sí
Chucho Cirino Ibañez Carrasco,20,Teruel,Kia,Niro EV,2020,425,Rápida,2024-12-21,2.3.2,Sí
Felisa Cano Casares,28,La Rioja,Ford,Mustang Mach-E,2018,464,Ultra Rápida,2023-10-31,7.3.8,Sí
Macario Reyes,28,Castellón,Kia,EV6,2025,488,Lenta,2024-11-25,9.1.5,No
Maximiliano Serrano Contreras,48,La Rioja,Tesla,Model 3,2023,502,Lenta,2024-05-31,1.7.2,No
Joan Álvarez Romero,42,Toledo,Audi,Q4 e-tron,2018,406,Lenta,2022-06-26,6.1.8,Sí
Maximino Morell-Roldán,35,Badajoz,Nissan,Ariya,2018,546,Rápida,2023-03-21,7.1.9,Sí
Georgina Ballesteros Galán,58,Baleares,Ford,Mustang Mach-E,2019,173,Lenta,2024-07-16,9.8.1,No
Brunilda Otero-Peláez,24,Soria,Volkswagen,ID.4,2021,250,Rápida,2023-05-08,5.2.9,No
Benita Ramírez Palma,65,Guipúzcoa,Audi,Q4 e-tron,2020,224,Ultra Rápida,2022-07-03,4.4.7,Sí
Sigfrido Pinedo Martin,79,Burgos,BMW,iX,2024,462,Ultra Rápida,2023-01-05,10.5.3,Sí
Iris Cuervo Tamayo,24,Zaragoza,Nissan,Ariya,2025,240,Rápida,2024-07-08,9.9.7,No
Bibiana Tejedor Alegria,62,Vizcaya,Volkswagen,ID.4,2021,240,Rápida,2024-10-26,7.6.7,No
Fabiana Alba Lorenzo,77,Salamanca,Ford,F-150 Lightning,2021,403,Lenta,2024-06-14,8.8.3,No
Calixto Codina-Cámara,64,Lugo,Nissan,Leaf,2024,158,Rápida,2023-10-19,2.5.2,Sí
Yésica Pellicer Salvador,75,Córdoba,Ford,Mustang Mach-E,2020,380,Ultra Rápida,2023-04-07,4.4.5,No
Pacífica Emiliana Alcalde Mulet,64,Ceuta,Kia,EV6,2023,179,Ultra Rápida,2022-11-08,8.0.9,Sí
Pío Piñol Coronado,20,Vizcaya,Tesla,Model Y,2024,465,Rápida,2024-01-20,9.4.0,Sí
Isaura Bonet Sobrino,42,Salamanca,Audi,e-tron,2023,538,Ultra Rápida,2023-05-03,5.8.8,Sí
Aníbal Rosell Cámara,51,Tarragona,Audi,Q4 e-tron,2024,199,Lenta,2023-11-12,8.5.7,Sí
Fabricio Pinto Cabrero,18,Lleida,Volkswagen,ID.4,2024,231,Rápida,2022-09-23,4.2.3,No
Fabiana Vélez Romero,37,Salamanca,Ford,F-150 Lightning,2025,192,Ultra Rápida,2024-09-15,3.3.8,No
Cristian Castañeda Barral,67,Córdoba,BMW,iX,2023,250,Lenta,2023-03-08,2.4.6,No
Carla Pedro Vallejo,37,La Rioja,Ford,F-150 Lightning,2018,572,Ultra Rápida,2022-05-08,7.0.7,Sí
Jorge de Alfaro,35,Córdoba,Hyundai,Ioniq 5,2021,266,Ultra Rápida,2022-11-03,8.6.3,Sí
Ruy Rueda Iniesta,51,Guadalajara,Audi,Q4 e-tron,2019,455,Lenta,2022-11-17,5.7.8,Sí
Cornelio Adadia Santos,52,Granada,Audi,Q4 e-tron,2020,193,Lenta,2025-04-04,8.8.7,Sí
Domitila Terrón-Saldaña,67,Vizcaya,Hyundai,Ioniq 5,2022,382,Ultra Rápida,2022-10-15,4.8.3,Sí
Felipe Reina Llopis,25,Valencia,Nissan,Leaf,2021,364,Lenta,2024-11-03,7.1.1,Sí
Chuy Porras Yuste,27,Valladolid,Hyundai,Ioniq 5,2023,564,Rápida,2023-08-16,1.3.6,Sí
Amelia Flor Marquez,44,Sevilla,BMW,iX,2021,539,Lenta,2023-04-19,2.2.2,Sí
Gerardo Barrios Manrique,24,Alicante,Hyundai,Ioniq 5,2021,565,Rápida,2024-02-11,6.1.8,No
Anselma Rosa Mascaró Fabregat,71,Guipúzcoa,BMW,i3,2020,411,Ultra Rápida,2025-03-31,5.2.1,Sí
Jesús Beltrán Casas,25,Palencia,Volkswagen,ID.4,2024,278,Lenta,2024-11-24,6.1.0,No
Valentín Saavedra,75,Cáceres,Volkswagen,ID.4,2022,583,Rápida,2023-12-29,9.5.2,Sí
Hermenegildo Cuervo Sabater,72,Pontevedra,Hyundai,Kona Electric,2018,266,Ultra Rápida,2024-11-27,8.6.6,No
Pío Montserrat-Solera,34,Ávila,BMW,i3,2020,451,Lenta,2022-08-06,5.9.8,No
Emiliano Pedro Vilaplana,41,Segovia,BMW,iX,2025,279,Lenta,2023-12-16,3.2.6,Sí
Anastasia Riba Heredia,39,Navarra,Ford,F-150 Lightning,2025,347,Rápida,2022-06-02,1.5.3,No
Belen Bellido Alfaro,60,León,Tesla,Model S,2022,435,Rápida,2024-04-27,4.8.6,Sí
Fanny de Beltrán,51,Ciudad,Audi,Q4 e-tron,2020,375,Ultra Rápida,2023-03-31,8.4.4,No
Juana Ugarte Carrera,42,Ceuta,Chevrolet,Bolt EV,2020,479,Rápida,2022-09-07,4.7.6,No
Carmela Estrada,56,Zaragoza,Ford,Mustang Mach-E,2020,454,Rápida,2024-07-29,6.0.3,No
Obdulia Clemente Benavente,44,Granada,Ford,Mustang Mach-E,2019,417,Rápida,2023-06-03,9.5.4,No
Luisa Palma Clavero,41,Melilla,Chevrolet,Bolt EUV,2019,417,Lenta,2024-04-19,9.7.7,No
Jose Carlos Borja Godoy,34,Ourense,Nissan,Ariya,2020,596,Rápida,2024-05-15,7.6.8,No
Carmina Coll Losada,78,Cádiz,Kia,Niro EV,2018,484,Rápida,2022-06-05,3.2.1,Sí
Teófila del Gámez,63,Soria,BMW,i4,2019,420,Rápida,2024-10-20,8.9.6,Sí
Curro Iglesia Molins,41,Salamanca,BMW,iX,2020,232,Rápida,2023-10-25,5.0.0,No
Concha del León,18,Granada,Kia,Niro EV,2025,445,Ultra Rápida,2024-06-21,2.2.5,Sí
Aureliano Lobo Hernández,22,Baleares,Volkswagen,ID.4,2025,385,Ultra Rápida,2023-09-23,9.0.2,Sí
Benjamín del Benitez,28,Las Palmas,Kia,EV6,2024,515,Rápida,2022-09-01,4.4.5,Sí
Jerónimo Samper Ripoll,36,Valencia,Chevrolet,Bolt EUV,2018,178,Ultra Rápida,2024-09-20,7.9.2,Sí
Eufemia Salamanca-Cabanillas,25,Granada,Ford,Mustang Mach-E,2025,436,Ultra Rápida,2022-12-31,4.7.2,No
Trini Castelló Urrutia,34,Ciudad,BMW,i3,2021,217,Ultra Rápida,2024-03-18,2.4.5,No
Emigdio Céspedes Vallés,31,Ávila,Hyundai,Kona Electric,2024,274,Ultra Rápida,2023-04-22,1.3.8,Sí
Dionisia Rodriguez Vilaplana,64,Ceuta,Nissan,Leaf,2024,236,Rápida,2024-09-22,10.1.4,No
Encarnacion Reig Sancho,37,Huelva,Chevrolet,Bolt EUV,2025,431,Lenta,2023-12-30,7.6.4,Sí
María Teresa Batalla Marco,34,Tarragona,Audi,Q4 e-tron,2025,223,Lenta,2025-02-09,6.7.5,No
Emma Lucena-Ródenas,45,Segovia,Tesla,Model X,2018,298,Rápida,2024-12-31,10.5.6,No
Vicenta Llopis Perez,51,Salamanca,Volkswagen,ID.4,2019,437,Rápida,2024-04-08,8.0.7,No
Eufemia Castro Rojas,48,Las Palmas,Kia,Niro EV,2022,534,Lenta,2022-11-10,8.8.8,No
Florinda Marisol Lobato Coloma,40,Huelva,Hyundai,Kona Electric,2024,596,Ultra Rápida,2024-01-29,4.6.3,Sí
Obdulia Coca Cortes,35,Baleares,Ford,F-150 Lightning,2021,453,Rápida,2023-03-11,4.0.9,No
Mireia Blasco Mur,24,Ciudad,Volkswagen,ID.4,2024,560,Ultra Rápida,2022-09-05,7.0.8,No
Nerea Úrsula Iriarte Alcalá,40,Guadalajara,Volkswagen,ID.3,2025,171,Rápida,2022-08-23,2.4.2,No
Azahara Garay Galán,68,Lugo,BMW,i3,2018,551,Rápida,2023-05-19,3.9.8,Sí
Graciana Ocaña,80,Huelva,Ford,F-150 Lightning,2019,430,Ultra Rápida,2023-02-18,10.1.3,Sí
Milagros Busquets Diez,43,La Coruña,Ford,Mustang Mach-E,2025,170,Ultra Rápida,2024-03-29,3.4.0,Sí
Candelario Jove,40,Ciudad,BMW,i3,2018,254,Rápida,2024-12-21,10.9.1,Sí
Florencio Lisandro Vilalta Galvez,40,Guadalajara,Hyundai,Kona Electric,2018,499,Rápida,2022-07-15,2.2.2,Sí
Natividad Benavent Bustos,59,Toledo,Ford,Mustang Mach-E,2024,290,Rápida,2024-12-31,2.3.5,Sí
Aureliano Maximiano Riba Miralles,47,Huelva,Tesla,Model X,2021,204,Lenta,2024-05-08,6.6.7,Sí
Anselmo Fajardo-Lamas,53,Guadalajara,Hyundai,Ioniq 5,2021,554,Ultra Rápida,2023-10-26,8.1.9,No
María Jesús Moraleda Giralt,41,Alicante,Kia,Niro EV,2018,496,Ultra Rápida,2025-02-16,1.0.0,No
Cloe de Laguna,58,Guadalajara,Tesla,Model X,2023,513,Lenta,2025-03-16,8.7.5,No
Alma Llamas Cano,57,Zaragoza,Tesla,Model X,2021,513,Lenta,2022-08-14,4.5.4,Sí
Isa Juárez Echevarría,45,Cantabria,BMW,i4,2023,464,Ultra Rápida,2025-04-02,3.3.0,No
Juan Francisco de Larrañaga,39,Zaragoza,BMW,i3,2022,302,Ultra Rápida,2023-01-27,10.3.4,Sí
Eliana Salcedo Flores,75,Valladolid,Nissan,Leaf,2021,426,Lenta,2024-05-21,6.2.4,Sí
Eleuterio Darío Miralles Cañas,58,Tarragona,Audi,e-tron,2022,379,Rápida,2022-06-28,6.2.3,No
Fabio Pardo,77,La Rioja,BMW,i4,2020,190,Rápida,2023-03-19,7.0.7,No
María Carmen Torre,19,Girona,Ford,Mustang Mach-E,2024,544,Lenta,2024-03-31,6.5.3,No
